"Date" "S.P.500.COMPOSITE...PRICE.INDEX" "X3M" "ABBOTT.LABORATORIES" "ALCOA" "ALTRIA.GROUP" "AMER.ELEC.PWR." "AMERICAN.EXPRESS" "APPLE" "AVON.PRODUCTS" "BANK.OF.AMERICA" "BAXTER.INTL." "BOEING" "BRISTOL.MYERS.SQUIBB" "CVS.CAREMARK" "CAMPBELL.SOUP" "CATERPILLAR" "CHEVRON" "COCA.COLA" "COLGATE.PALM." "COMCAST..A." "CONOCOPHILLIPS" "DOW.CHEMICAL" "E.I.DU.PONT.DE.NEMOURS" "ENTERGY" "EXELON" "EXXON.MOBIL" "FEDEX" "FORD.MOTOR" "GENERAL.DYNAMICS" "GENERAL.ELECTRIC" "HALLIBURTON" "HJ.HEINZ" "HEWLETT.PACKARD" "INTEL" "INTERNATIONAL.BUS.MCHS." "JP.MORGAN.CHASE...CO." "JOHNSON...JOHNSON" "LOWE.S.COMPANIES" "MCDONALDS" "MEDTRONIC" "MERCK...CO." "NIKE..B." "OCCIDENTAL.PTL." "PEPSICO" "PFIZER" "PROCTER...GAMBLE" "RAYTHEON..B." "SARA.LEE" "SCHLUMBERGER" "SOUTHERN" "SPRINT.NEXTEL" "TARGET" "TEXAS.INSTS." "BANK.OF.NEW.YORK.MELLON" "UNITED.TECHNOLOGIES" "WAL.MART.STORES" "WALGREEN" "WALT.DISNEY" "WELLS.FARGO...CO" "WEYERHAEUSER" "WILLIAMS.COS." "XEROX"
"21" "1995/1/30" 6.149557446 3.219671508 2.780879261 2.270836395 1.528206165 3.544575965 2.194142053 2.305710205 1.952587804 2.463853241 2.541712224 3.110733666 2.674231405 1.891785783 3.014755185 2.557715564 3.121814112 3.270044111 2.732742814 1.540473612 2.764745545 3.030534586 3.279500447 3.172831886 2.588703443 2.748872196 2.740840024 2.19810197 2.389331435 2.142416341 2.156008987 3.172877959 2.29059348 1.47590652 2.886893494 2.545531272 2.667658669 1.548221866 2.795755782 2.004435089 2.918586615 2.207592863 2.257849199 2.817083962 1.897124985 2.791888772 3.49839971 2.394671901 2.48047183 2.5388107 2.249711603 1.736440539 1.472334433 2.081464494 2.071598364 2.431417965 1.781288169 2.822176188 1.802122256 3.640870235 2.126682888 2.857326162
"22" "1995/1/31" 6.153625913 3.226855899 2.805920737 2.28524563 1.528206165 3.555348061 2.218246505 2.311921374 1.965796806 2.455846806 2.563132323 3.102342009 2.682390454 1.891785783 3.029312107 2.552861205 3.10514706 3.267665989 2.754857448 1.523531379 2.768674823 3.034553869 3.281850624 3.193558017 2.593387293 2.748872196 2.720472721 2.218094173 2.377803877 2.149725246 2.156008987 3.169727597 2.285632201 1.466929201 2.892103591 2.564949357 2.676298062 1.5246858 2.791931685 2.004435089 2.946935859 2.183238335 2.231357584 2.830739699 1.91875916 2.782334824 3.507807117 2.4186511 2.464023439 2.5388107 2.245337263 1.743758993 1.461517782 2.073171929 2.083346408 2.436897431 1.781288169 2.81727524 1.791759469 3.634291264 2.112888407 2.90292047
"23" "1995/2/1" 6.153604655 3.200251463 2.802384147 2.307264129 1.536544587 3.55177024 2.222198993 2.305710205 1.939187603 2.445065077 2.554619262 3.132773126 2.672174288 1.891785783 3.014755185 2.555287447 3.110733666 3.26289271 2.738818627 1.532038375 2.748872196 3.044522438 3.284195291 3.17805383 2.593387293 2.742857343 2.720472721 2.213130734 2.360259485 2.142416341 2.156008987 3.160220762 2.304123908 1.484803963 2.912687564 2.555287447 2.652361295 1.551533338 2.772588722 1.99385642 2.934431173 2.167269252 2.211017899 2.837498268 1.91108206 2.762954966 3.511545439 2.404338109 2.459272552 2.5388107 2.249711603 1.767159352 1.470543594 2.077326807 2.075533917 2.463853241 1.791759469 2.819728716 1.77070606 3.66035137 2.122105838 2.894889316
"24" "1995/2/2" 6.158630164 3.205141945 2.788099063 2.310364753 1.540687869 3.555348061 2.226146715 2.342411392 1.967993088 2.453157951 2.554619262 3.140914283 2.678319251 1.895834159 3.017684549 2.56974553 3.121814112 3.265282198 2.746866987 1.532038375 2.752864217 3.034553869 3.286534473 3.183248647 2.598049306 2.736799614 2.742850904 2.232838366 2.366141882 2.14485468 2.120919321 3.157030208 2.295540337 1.506674023 2.922822814 2.561736509 2.654558 1.5712167 2.803360381 1.983150881 2.934431173 2.167269252 2.231357584 2.860788455 1.906456266 2.770755793 3.511545439 2.399512147 2.468751861 2.5388107 2.279817876 1.793491302 1.495350539 2.097858405 2.083346408 2.47443535 1.791759469 2.81727524 1.786529148 3.673131097 2.122105838 2.90292047
"25" "1995/2/3" 6.170948749 3.207576224 2.784492589 2.349888438 1.544814054 3.576550269 2.241772954 2.315007613 1.959221163 2.505525937 2.558884852 3.175446267 2.68644515 1.891785783 3.035077979 2.583997552 3.130044611 3.279500447 2.758819358 1.565381526 2.760800766 3.054392614 3.293519368 3.193558017 2.611906341 2.752864217 2.740840024 2.23770518 2.374905755 2.161781608 2.117339265 3.169727597 2.291837544 1.5246858 2.926178531 2.58084542 2.663310821 1.5712167 2.79956531 2.004435089 2.934431173 2.183238335 2.251291799 2.883554126 1.921807719 2.780414273 3.539146087 2.428089354 2.485123293 2.556614721 2.284054456 1.820848906 1.511008874 2.125919511 2.093023883 2.48490665 1.786529148 2.839148636 1.822531128 3.676300672 2.135774615 2.896039002
"26" "1995/2/6" 6.176158288 3.224464181 2.812968619 2.302585093 1.552994537 3.55177024 2.237886559 2.315007613 1.989585213 2.528229515 2.554619262 3.159656465 2.692503305 1.92378139 3.054991257 2.598049306 3.151667075 3.281850624 2.764745545 1.565381526 2.780370863 3.064170992 3.300455812 3.188416617 2.602689685 2.742857343 2.732742814 2.232838366 2.380702872 2.159384244 2.117339265 3.200785171 2.302895045 1.526404069 2.922822814 2.583997552 2.669828988 1.561423447 2.807141104 2.021136883 2.953127441 2.158275827 2.26436388 2.877106383 1.912619248 2.8032331 3.537329556 2.423385793 2.503515755 2.556614721 2.292453946 1.820848906 1.524707568 2.14548674 2.096863887 2.490101467 1.789156083 2.848716083 1.827560882 3.682609841 2.153713786 2.901778673
"27" "1995/2/7" 6.175472182 3.222070716 2.816468038 2.302585093 1.555045083 3.558913128 2.245644303 2.322691596 1.989585213 2.515678308 2.5503354 3.172831886 2.688473148 1.950968761 3.066195397 2.593387293 3.14361334 3.288868197 2.774536823 1.581634968 2.772588722 3.077694676 3.311910691 3.17805383 2.602689685 2.744864174 2.726623315 2.223033098 2.409194828 2.159384244 2.117339265 3.185376951 2.305341291 1.517870719 2.921143417 2.577690915 2.671987696 1.561423447 2.814659936 1.998095902 2.940700421 2.167269252 2.251291799 2.857498413 1.917231388 2.801346233 3.533686565 2.428089354 2.498949256 2.544778047 2.296627381 1.815768922 1.521284065 2.13771045 2.094945728 2.48490665 1.781288169 2.841549093 1.822531128 3.676300672 2.166960082 2.880966556
"28" "1995/2/8" 6.176262203 3.222070716 2.795267113 2.277267285 1.555045083 3.544575965 2.237886559 2.358785826 1.985309418 2.520716102 2.541712224 3.175446267 2.672174288 1.958600711 3.066195397 2.588703443 3.154337304 3.281850624 2.776487363 1.605550366 2.788092909 3.069990592 3.309630188 3.151667075 2.593387293 2.748872196 2.714284063 2.22794775 2.40637738 2.159384244 2.11014047 3.172877959 2.312634429 1.566342502 2.921143417 2.58713978 2.665490587 1.577678891 2.79956531 1.981001469 2.943823 2.161885211 2.238046572 2.830739699 1.938439456 2.789986499 3.542769279 2.437430622 2.503515755 2.556614721 2.321318521 1.825887106 1.544899391 2.125919511 2.091098336 2.490101467 1.786529148 2.862903491 1.812378756 3.688879454 2.192937624 2.882137953
"29" "1995/2/9" 6.174181859 3.229237952 2.795267113 2.301023875 1.5427424 3.530030254 2.233995712 2.389340604 1.989585213 2.505525937 2.541712224 3.170210653 2.668061193 1.943278117 3.063404941 2.576900731 3.151667075 3.267665989 2.756840365 1.609477912 2.795755782 3.069990592 3.309630188 3.11905549 2.583997552 2.736799614 2.718409689 2.218094173 2.414797084 2.164184723 2.124928638 3.176018427 2.340092801 1.577678891 2.931193752 2.58084542 2.652361295 1.554855003 2.803360381 1.967993088 2.950033825 2.161885211 2.251291799 2.830739699 1.920284601 2.788080601 3.539146087 2.442077434 2.492064306 2.544778047 2.321318521 1.829247914 1.588908621 2.133787671 2.093023883 2.479684706 1.783912092 2.848716083 1.807255451 3.679460232 2.184353207 2.885632769
"30" "1995/2/10" 6.176823154 3.236358115 2.788099063 2.305710205 1.552994537 3.511545439 2.226146715 2.392197252 1.985309418 2.502975749 2.546033106 3.151667075 2.678319251 1.958600711 3.066195397 2.586357031 3.127308631 3.279500447 2.746866987 1.613390092 2.776487363 3.073850053 3.307344473 3.113515309 2.583997552 2.738825092 2.740840024 2.242548423 2.409194828 2.161781608 2.120919321 3.185376951 2.328243093 1.576067254 2.931193752 2.58713978 2.658943987 1.564691561 2.818398258 1.965796806 2.950033825 2.172613073 2.251291799 2.847545441 1.914154077 2.786171063 3.540959324 2.428089354 2.48975322 2.544778047 2.309054124 1.819163849 1.582518823 2.14548674 2.096863887 2.469158293 1.791759469 2.853465697 1.802122256 3.682609841 2.184353207 2.900635571
